1010101, 101010102 ,Gihanga
1010101, 101010103 ,Iterambere
1010101, 101010104 ,Izuba
1010101, 101010105 ,Nyaburanga
1010101, 101010106 ,Nyenyeri
1010101, 101010107 ,Ubukorikori
1010101, 101010108 ,Ubumwe
1010101, 101010109 ,Ubwiyunge
1010101, 101010110 ,Umucyo
1010101, 101010111 ,Umurabyo
1010101, 101010112 ,Umuseke
1010101, 101010113 ,Vugizo
1010102, 101010201 ,Akinyambo
1010102, 101010202 ,Amayaga
1010102, 101010203 ,Gitwa
1010102, 101010204 ,Ituze
1010102, 101010205 ,Mpazi
1010103, 101010301 ,Amahoro
1010103, 101010302 ,Impuhwe
1010103, 101010303 ,Intsinzi
1010103, 101010304 ,Kivumu
1010103, 101010305 ,Ubumwe
1010103, 101010306 ,Urukundo
